#EXPECTED FORMAT: ratingDate;ratingPlace;purchasingDate;purchasingPlace;name;pack;bbe;brewInfo;aroma;appearance;taste;palate;overall;description
#SEPARATOR:;
2009-03-07;Ruovesi;2009-03-05;Alko Kaleva;Paulaner Hefe-Weissbier;Bottle 500ml;;;7;3;7;3;13;
2009-03-07;Ruovesi;2009-03-05;Alko Kaleva;Paulaner Hefe-Weissbier Dunkel;Bottle 500ml;;;7;3;6;3;12;
2009-03-13;Pirkkala;2009-03-11;K-extra Kaleva;Flying Dog Doggie Style Classic Pale Ale;Bottle 355ml;;;7;3;6;3;13;
2009-03-14;Pirkkala;2009-03-12;Alko Kaleva;Haandbryggeriet Påskegodt;Bottle 500ml;;;6;3;7;3;13;
2009-03-14;Pirkkala;2009-03-12;Alko Kaleva;Oppigårds Easter Ale;Bottle 500ml;2011-09-11;;8;3;6;3;11;
2009-03-20;Pirkkala;2009-03-19;Alko Kaleva;Stallhagen Påsk 2008 (Alko version);Bottle 500ml;;;7;3;7;3;13;
2009-03-28;Ruovesi;2009-03-24;K-citymarket Pirkkala;Haandbryggeriet Pale Ale;Bottle 500ml;;;6;3;7;3;13;
2009-03-28;Ruovesi;2009-03-24;K-citymarket Pirkkala;Isle of Skye Black Cuillin;Bottle 500ml;;;7;3;7;3;14;
2009-04-24;Ruovesi;2009-04-23;K-citymarket Pirkkala;Kaiserdom Hefe-Weissbier;Can 500;;;5;3;5;2;11;
2009-04-25;Ruovesi;2009-04-23;K-citymarket Pirkkala;Hook Norton Hooky Gold;Bottle 500ml;;;6;3;6;2;12;
2009-04-25;Ruovesi;2009-04-23;K-citymarket Pirkkala;Williams Brothers 80/-;Bottle 500ml;;;6;3;7;3;13;
2009-05-07;Pirkkala;2009-05-07;K-citymarket Pirkkala;Beer Here Fat Cat;Bottle 500ml;;;7;4;8;3;15;
2009-05-08;Ruovesi;2009-05-07;K-citymarket Pirkkala;Beamish Irish Stout;Can 500;;;7;3;7;3;13;
2009-05-09;Ruovesi;2009-05-07;K-citymarket Pirkkala;Dixie Beer;Bottle 355ml;;;3;2;3;2;8;
2009-05-09;Ruovesi;2009-05-07;K-citymarket Pirkkala;Nils Oscar Farm Ale;Bottle 500ml;;;7;3;6;3;13;
2009-05-16;Helsinki Beer Festival;;;North Coast Old Rasputin Russian Imperial Stout;Bottle 355ml;;;8;4;8;4;15;
2009-05-16;Helsinki Beer Festival;;;O'Fallon 5-Day IPA;Bottle 355ml;;;6;3;6;3;12;
2009-05-16;Helsinki Beer Festival;;;Schlafly Dry Hopped APA;Draft;;;7;3;7;3;14;
2009-05-20;Ruovesi;2009-05-20;Teboil Aitolahti;Sinebrychoff Koff Indian;Can 500;;;3;2;3;1;5;
2009-05-20;Ruovesi;2009-05-19;Prisma Kaleva;Staropramen _ern_;Bottle 500ml;;;5;3;5;3;10;
2009-05-21;Ruovesi;2009-05-19;Prisma Kaleva;Kozel Cerny (Dark) 10°;Bottle 500ml;;;5;3;5;3;10;
2009-05-21;Ruovesi;2009-05-19;Prisma Kaleva;Litovel Tmavé (Dark);Bottle 500ml;;;5;3;5;3;10;
2009-05-22;Ruovesi;2009-05-19;Alko Kaleva;Hofbräu Münchner Weisse;Bottle 500ml;;;6;3;6;3;13;
2009-05-26;Pirkkala;2009-05-25;Alko Kaleva;Oppigårds Summer Ale;Bottle 500ml;;;7;3;7;3;13;
2009-05-29;Olutravintola Konttori;;;Ballast Point Big Eye IPA;Bottle 650ml;;;8;3;8;3;15;
2009-05-29;Olutravintola Konttori;;;Port Brewing 2nd Anniversary;Bottle 650ml;;;9;3;9;3;15;
2009-05-29;Pirkkala;2009-05-26;K-citymarket Pirkkala;Amager Summer Fusion;Bottle 500ml;;;6;3;6;3;13;
2009-05-30;Pirkkala;2009-05-28;Alko Anttila;Grottenbier Bruin;Bottle 330ml;;;6;3;6;3;13;
2009-05-30;Pirkkala;2009-05-28;Alko Anttila;St. Bernardus Wit (Blanche);Bottle 330ml;;;7;3;8;3;15;
2009-05-22;Ruovesi;2009-05-19;Alko Kaleva;Oppigårds Indian Tribute (2008-);Bottle 330ml;;;8;3;7;3;15;
2009-05-21;Ruovesi;2009-05-19;Alko Kaleva;Svaneke Skipper Clements;Bottle 500ml;;;7;3;8;3;14;
2009-06-05;Pirkkala;2009-05-16;Alko Arkadia;Left Hand Milk Stout;Bottle 355ml;;;8;4;7;3;14;
2009-06-10;Milan;;;Birra Moretti;Bottle 330ml;;;4;2;4;2;9;
2009-06-10;Terminal Hotel Milan;2009-06-12;A Tutta Birra;Westvleteren Blond;Bottle 330ml;;;8;3;8;3;15;
2009-06-10;Terminal Hotel Milan;2009-06-12;A Tutta Birra;Westvleteren Extra 8;Bottle 330ml;;;7;3;7;3;14;
2009-06-11;Trattoria Il Porticciolo, Manarola;;;Peroni;Draft;;;4;2;4;2;9;
2009-06-12;Birrificio Lambrate;;;Lambrate Domm;Draft;;;6;3;6;3;12;
2009-06-12;Birrificio Lambrate;;;Lambrate Lambrate;Draft;;;6;3;7;3;13;
2009-06-12;Birrificio Lambrate;;;Lambrate Ligèra;Draft;;;7;3;8;3;14;
2009-06-12;Birrificio Lambrate;;;Lambrate Montestella;Draft;;;6;3;6;3;13;
2009-06-12;Pizzeria at Milan;;;Splügen;Draft;;;4;2;4;1;7;
2009-06-12;Terminal Hotel Milan;2009-06-10;A Tutta Birra;Maltus Faber Blonde;Bottle 750ml;;;7;3;7;3;14;
2009-06-12;Terminal Hotel Milan;2009-06-12;A Tutta Birra;Scarampola IPA;Bottle 750ml;;;6;3;6;3;12;
2009-06-13;Javea, Spain;2009-06-13;Mercadona, Denia;Mahou Negra;Bottle 330ml;;;6;3;5;3;11;
2009-06-13;Javea, Spain;2009-06-13;Mercadona, Denia;San Miguel Selecta XV;Bottle 330ml;;;5;3;4;2;10;
2009-06-14;Javea, Spain;2009-06-13;Mercadona, Denia;San Miguel (Spain);Bottle 330ml;;;3;2;3;1;6;
2009-06-14;Javea, Spain;2009-06-13;Mercadona, Denia;San Miguel Especial;Bottle 330ml;;;3;2;3;1;8;
2009-06-15;Javea, Spain;2009-06-13;Mercadona, Denia;Murphys Irish Red Beer;Bottle 330ml;;;6;3;6;3;11;
2009-06-16;Javea, Spain;2009-06-13;Mercadona, Denia;A. K. Damm;Bottle 330ml;;;3;2;3;2;8;
2009-06-16;Javea, Spain;2009-06-13;Mercadona, Denia;Gayant La Biere du Demon;Bottle 330ml;;;4;3;3;1;8;
2009-06-16;Javea, Spain;2009-06-13;Mercadona, Denia;Legado de Yuste;Bottle 330ml;;;5;3;5;3;10;
2009-06-17;Javea, Spain;2009-06-13;Mercadona, Denia;Alhambra Premium / Export;Bottle 330ml;;;3;2;3;1;7;
2009-06-17;Javea, Spain;2009-06-13;Mercadona, Denia;Estrella Damm (5.4%);Bottle 330ml;;;3;2;4;2;9;
2009-06-18;Javea, Spain;2009-06-13;Mercadona, Denia;Cruzcampo Premium Lager;Bottle 330ml;;;2;2;3;1;6;
2009-06-19;Javea, Spain;2009-06-13;Mercadona, Denia;Voll-Damm (Doble Malta);Bottle 330ml;;;5;3;5;3;10;
2009-06-22;Le Club, Stockel Squere;;;John Martins Pale Ale;Bottle 330ml;;;6;3;6;3;12;
2009-06-22;Le Roy D'Espagne, Brussels;;;Grimbergen Triple;Bottle 330ml;;;6;3;7;3;13;
2009-06-22;Le Roy D'Espagne, Brussels;;;Hoegaarden Grand Cru;Bottle 330ml;;;6;3;7;3;14;
2009-06-26;Pirkkala;2009-06-09;Alko Arkadia;BrewDog Hardcore IPA;Bottle 330ml;;;8;3;8;4;15;
2009-06-26;Pirkkala;2009-06-09;Alko Arkadia;Oppigårds Stark Porter;Bottle 500ml;;;8;4;7;3;14;
2009-06-27;Pirkkala;2009-06-23;Brussels Airport;Leffe Radieuse;Bottle 330ml;;;7;3;8;3;14;
2009-06-27;Pirkkala;2009-06-23;Brussels Airport;Leffe Vieille Cuvée;Bottle 330ml;;;7;3;7;3;15;
2009-06-27;Pirkkala;2009-06-26;K-citymarket Pirkkala;Mikkeller Tjekket Pilsner;Bottle 330ml;;;6;3;6;3;13;
2009-06-29;Pirkkala;2009-06-22;Bier Temple, Brussels;Affligem Dubbel;Bottle 330ml;;;7;3;7;3;14;
2009-07-24;Gastropub Nordic;;;Amager IPA;Bottle 500ml;;;8;3;8;3;14;
2009-07-24;Olutravintola Konttori;;;Mikkeller Single Hop Cascade IPA;Bottle 330ml;;;7;3;8;3;15;
2009-07-24;Olutravintola Konttori;;;Mikkeller Single Hop Nelson Sauvin IPA;Bottle 330ml;;;8;3;8;3;15;
2009-07-18;Sauna / Turku;2009-07-18;K-citymarket Ravattula;Vakka-Suomen Prykmestar Vehnä;Bottle 500ml;;;6;3;6;3;12;
2009-07-02;Pirkkala;2009-06-22;Bier Temple, Brussels;St Feuillien Brune;Bottle 330ml;;;7;3;8;3;15;
2009-07-03;Ruovesi;2009-06-23;Brussels Airport;Maredsous 10;Bottle 330ml;;;7;3;7;3;14;
2009-07-04;Pirkkala;2009-06-22;Supermarche Match, Stokkel Square;Mc Chouffe;Bottle 330ml;;;8;3;8;3;15;
2009-07-04;Ruovesi;2009-07-02;K-citymarket Pirkkala;Laitilan Kievari Retale;Bottle 500ml;;;6;3;6;2;12;
2009-07-04;Ruovesi;2009-06-23;Brussels Airport;Maredsous 6 Blond;Bottle 330ml;;;7;3;6;2;13;
2009-07-04;Ruovesi;2009-06-23;Brussels Airport;Maredsous 8 Brune/Bruin;Bottle 330ml;;;7;3;7;3;13;
2009-07-11;Pirkkala;2009-06-23;Brussels Airport;Corsendonk Pater / Abbey Brown Ale;Bottle 750ml;;;8;3;8;3;15;
2009-07-11;Pirkkala;2009-07-10;K-citymarket Pirkkala;Mikkeller Drink’in the Sun;Bottle 330ml;;;8;3;7;3;14;
2009-07-12;Pirkkala;;Gift from Mikko & Virpi;Belle-Vue Kriek;Bottle 330ml;;;6;3;6;3;13;
2009-07-12;Pirkkala;2009-07-09;Alko Kaleva;Petrus Gouden Tripel;Bottle 330ml;;;6;3;7;3;14;
2009-07-17;Old Bank;;;Mikkeller Single Hop Simcoe IPA;Bottle 330ml;;;9;3;8;3;15;
2009-07-20;Ruovesi;;Gift from Hessu.;A. Le Coq Premium Export;Can 330ml;;;3;2;3;2;10;
2009-07-21;Ruovesi;2009-07-14;Prisma Kaleva;Hollandia;Can 500;;;3;2;3;2;7;
2009-07-21;Ruovesi;;Gift from Hessu.;Saaremaa Tume;Can 330ml;;;4;3;5;3;11;
2009-07-24;Gastropub Nordic;;;Mikkeller Big Bad Barley Wine;Draft;;;8;3;8;4;15;
2009-07-24;Pirkkala;2009-05-16;Alko Arkadia;Meantime India Pale Ale;Bottle 750ml;;;8;3;8;3;15;
2009-08-07;Ruovesi;;Gift from Hessu;Okocim Premium Pils;Bottle 500ml;;;6;2;6;3;12;
2009-08-07;Ruovesi;;Gift from Hessu;Tyskie Gronie;Bottle 500ml;;;3;2;3;2;8;
2009-08-08;Ruovesi;;Gift from Hessu;Hasseröder Premium Pils;Bottle 500ml;;;4;2;4;2;9;
2009-08-22;Pirkkala;2009-08-19;K-citymarket Pirkkala;Eggenberg Tmavy Lezák;Bottle 500ml;;;5;3;5;3;10;
2009-08-21;Nokian Panimo;;;Nokian Keisari Dark Premium;Draft;;;5;3;4;2;9;
2009-08-21;Nokian Panimo;;;Nokian Keisari Lager;Draft;;;4;2;4;2;8;
2009-08-22;Pancho Villa;;;Negra Modelo;Bottle 355ml;;;5;3;5;2;10;
2009-08-28;Pirkkala;2009-08-27;Alko Kaleva;Hofbräu München Original;Bottle 500ml;;;6;3;6;3;13;
2009-08-30;Pirkkala;2009-08-25;Alko Kaleva;Flying Dog Road Dog Porter;Bottle 355ml;;;7;3;6;2;10;
2009-09-05;Ruovesi;2009-09-03;K-citymarket Pirkkala;Southern Tier Hop Sun;Bottle 355ml;;;8;3;7;3;14;
2009-09-19;Ruovesi;2009-09-11;Alko Kaleva;Hofbräu München Oktoberfestbier;Bottle 500ml;;;5;3;6;3;12;
2009-09-26;Silja Serenade;2009-09-26;System Bolaget Regeringsgatan;Jolly Pumpkin Bam Biere;Bottle 750ml;;;6;3;6;3;12;
2009-09-26;Silja Serenade;2009-09-26;System Bolaget Regeringsgatan;Jolly Pumpkin Calabaza Blanca;Bottle 750ml;;;6;3;7;3;13;
2009-09-26;Stockholm Beer and Whisky Festival;;;Araucana Rojiza Fuerte;Bottle 500ml;;;8;3;8;3;15;
2009-09-26;Stockholm Beer and Whisky Festival;;;Bear Republic Racer 5;Sample;;;8;3;8;3;16;
2009-09-26;Stockholm Beer and Whisky Festival;;;Dugges 1/2 Idjit!;Draft;;;8;4;8;4;15;
2009-09-26;Stockholm Beer and Whisky Festival;;;Dugges High Five!;Draft;;;7;3;8;3;15;
2009-09-26;Stockholm Beer and Whisky Festival;;;Dugges Never mind the Bollox!;Draft;;;8;3;8;4;15;
2009-09-26;Stockholm Beer and Whisky Festival;;;Great Divide Titan IPA;Sample;;;9;3;9;3;16;
2009-09-26;Stockholm Beer and Whisky Festival;;;Lagunitas India Pale Ale (IPA);Sample;;;8;3;8;3;15;
2009-09-26;Stockholm Beer and Whisky Festival;;;Närke Kaggen Stormaktsporter;Sample;;;9;4;8;4;16;
2009-09-26;Stockholm Beer and Whisky Festival;;;Three Floyds Alpha King;Sample;;;9;3;9;4;16;
2009-09-26;Stockholm Beer and Whisky Festival;;;Victory HopDevil;Sample;;;8;4;8;3;16;
2009-10-09;Pirkkala;2009-06-22;Bier Temple, Brussels;Abbaye des Rocs Brune;Bottle 330ml;;;8;4;8;4;15;
2009-10-09;Pirkkala;2009-07-01;Alko Arkadia;Deus Brut des Flandres (2008);Bottle 750ml;;;8;4;8;4;15;
2009-11-06;Pirkkala;2009-11-06;Alko Kaleva;Flying Dog K-9 Cruiser;Bottle 355ml;;;7;3;6;3;12;
2009-11-07;Beer House, Tallinn;;;Beer House BH Premium;Draft;;;6;3;5;3;12;
2009-11-07;Cafe / Bar A-Terminal Tallinn;;;Heineken Buckler;Bottle 330ml;;;2;1;2;1;6;
2009-11-07;Eckerö Line Nordlandia;2009-11-07;Eckerö Line;Royal Classic;Can 330ml;;;4;2;4;2;8;
2009-11-07;Eckerö Line Nordlandia;2009-11-07;Eckerö Line;Royal Stout;Can 330ml;;;6;3;6;3;12;
2009-11-12;Oluthuone William K. Mannerheimintie;;;Kerst Pater Special Christmas;Bottle 330ml;;;7;3;7;3;14;
2009-11-12;St. Urho's Pub;;;Ellezelloise Hercule Stout;Bottle 330ml;;;8;4;8;3;15;
2009-11-12;St. Urho's Pub;;;Schlafly ESB;Bottle 355ml;;as Schlafly Winter ESB;7;3;7;3;14;
2009-11-13;Olutravintola Pikkulintu;;;Ballast Point Dorado Double IPA;Bottle 650ml;;;9;4;9;4;16;
2009-11-13;Olutravintola Pikkulintu;;;Beer Here Hopfix;Bottle 500ml;;;9;3;9;4;16;
2009-11-13;Olutravintola Pikkulintu;;;De Molen Hel & Verdoemenis;Draft;;;9;4;9;4;17;Black color With khaki head. Aroma is Chocolate, roast, vanilla. flavor is roasted malt, licorice, Chocolate, spices, Smoke. Medium Body, Soft carbonation. Silky palate. Draught version is one of the best beer experiences ever.
2009-11-13;VR ravintolavaunu;;;Laitilan Kievari Tuomas (2209);Bottle 330ml;;;6;3;5;2;11;
2009-11-21;Pancho Villa;;;Pacifico Clara;Bottle 355ml;;;3;2;4;2;8;
2009-12-31;Gastropub Tuulensuu;;;De Molen Jong & Onbedorven (Young & Unspoiled) 2009;Bottle 330ml;;;7;3;7;3;14;
2009-12-31;Gastropub Tuulensuu;;;De Molen Lang & Kaal;Bottle 330ml;;;8;4;8;4;15;hyvä, todella paksu, makea, täyteläinen, mene pienenä annoksena
2009-12-31;Gastropub Tuulensuu;;;Left Hand Haystack Wheat;Bottle 355ml;;;7;3;6;2;11;
2009-12-31;Gastropub Tuulensuu;;;Saison Dupont Vieille Provision;Bottle 375ml;;;7;3;8;3;15;
2009-12-??;Niko;;;De Molen / Struise Brouwers Black Damnation;Bottle 330ml;;;9;4;8;4;16;
2009-12-??;Niko;;;Papegaei;Bottle 330ml;;;6;3;6;3;13;
2009-12-31;O'Hara's Freehouse;;;Dieu du Ciel Aphrodisiaque;Bottle 341ml;;;7;4;7;3;13;
2009-12-31;O'Hara's Freehouse;;;Port Brewing Santa's Little Helper 2008;Bottle 650ml;;;9;4;9;4;16;
2009-12-31;O'Hara's Freehouse;;;AleSmith YuleSmith (Winter) Imperial Red Ale;Bottle 650ml;;;9;4;9;4;16;
2009-12-??;Pirkkala;2009-09-26;System Bolaget Regeringsgatan;Urthel Hop-it;Bottle 330ml;2010-02-28;;6;3;7;3;14;
2009-12-04;Pirkkala;2009-12-03;K-citymarket Pirkkala;Diamond Roggen Ruisolut;Bottle 330ml;;;6;3;6;3;13;
2009-12-04;Pirkkala;2009-12-03;K-citymarket Pirkkala;Huvila Black Door H.O.D.A;Bottle 500ml;;;7;3;7;3;13;
2009-12-12;Pirkkala;2009-12-03;Alko Arkadia (siirto);Beer Here Jule IPA;Bottle 500ml;;;8;3;8;3;15;
2009-12-19;Pirkkala;2009-12-17;K-citymarket Pirkkala;Boon Kriek;Bottle 375ml;;;6;3;6;3;13;
2010-??-??;Pirkkala;2009-09-26;System Bolaget Regeringsgatan;Rogue Imperial Youngers Special Bitter;Bottle 750ml;;;8;3;8;4;15;
2010-01-07;Pirkkala;2010-01-03;K-citymarket Pirkkala;Raasted Pilsner;Bottle 500ml;;;5;3;5;2;10;
2010-01-09;Pirkkala;2010-01-08;K-citymarket Pirkkala;Huvila Hyvä Tuomas;Bottle 500ml;;;6;3;6;2;12;
2010-01-15;Pirkkala;2010-01-11;K-citymarket Turtola;St Peters Honey Porter;Bottle 500ml;;;6;3;3;2;9;
2010-01-17;Pirkkala;2010-01-17;K-citymarket Pirkkala;Mikkeller Herra Huurteinen;Bottle 330ml;;;5;3;6;3;11;
2010-01-20;Pirkkala;2010-01-17;K-citymarket Pirkkala;Bath Dark Hare;Bottle 500ml;;;6;3;7;2;12;
2010-01-22;Pirkkala;2010-01-22;Alko Kaleva;Fuller's 1845;Bottle 500ml;;;7;3;7;3;13;
2010-01-23;Pirkkala;2010-01-23;Stockmann Tampere;Caledonian 80;Bottle 500ml;;;6;3;6;3;12;
